,Product_Name,Discounted_prices,Store_name,Store_link,Shipping_prices,Item_sold,Discount_percent,Amount_saved,actual_price
0,High-end Lenovo Laptop ThinkPad X1 Carbon 2022 Gen 10 14 Inch 2.2K Led Backlit Screen i7-1260P 16GB LPDDR5 5200Win11 Pro 4G LTE ,79150.5,HUWEI Factory Store,//www.aliexpress.com/store/836146,Free shipping,7,0.0,Free shipping,79150.5
1,High-end Lenovo Laptop ThinkPad P15v Gen 3 2022 15.6 Inch FHD i7-12700H i7-11800H 10750H 64GB Ram 4TB SSD Nvidia Pro Graphics ,60154.38,HUWEI Factory Store,//www.aliexpress.com/store/836146,Free shipping,6,0.0,Free shipping,60154.38
2,2022 Professional Lenovo Gaming Laptop Legion Y9000P With i7-12700H NVIDIA RTX 3070Ti 8GB GPU 16GB Ram Backlit 15.6 Inch 165Hz ,60154.38,HUWEI Factory Store,//www.aliexpress.com/store/836146,Free shipping,5,0.0,Free shipping,60154.38
3,"New A2681 Laptop LCD Screen Display Assembly For Macbook Air A2681 Retina 13.6"" 2022 Year Glass Panel Assembly Replacement Parts ",2229.42,MAC LCD Store,//www.aliexpress.com/store/1103570212,+shipping: 204.87,98,9,220.49,2449.91
4,2024 Ultrabook Laptop 15.6 inch AMD R7 4700U/R5 4500U Backlit Keyboard Windows 36GB DDR4 2TB Fingerprint Unlock Gaming Notebook ,5509.82,YSJMNPC Official Store,//www.aliexpress.com/store/1100370457,Free shipping,25,44,4329.22,9839.04
5,Intel i9-10885H GTX1650 64G 512GB SSD Gaming Laptop 17.3 inch FHD IPS Laptop Windows 10 Pro Computer PC Laptops Metal Notebook ,23001.92,NWNLAP Store,//www.aliexpress.com/store/1518128,+shipping: 2472.03,1,0.0,+shipping: 2472.03,23001.92
6,10.9 Inch Mini Laptop Intel N95 YOGA Touchscreens 16GB DDR5 2TB SSD HD Camera Backlit Keyboard 360° Fold Protable Tablet Laptop ,4405.67,YSJMNPC Official Store,//www.aliexpress.com/store/1100370457,Free shipping,32,44,3461.73,7867.4
7,Portable SSD 1TB High-speed Mobile Solid State Drive 500GB External Storage Decives Type-C USB 3.1 Interface for Laptop/PC/ Mac ,132.23,Shop1103665052 Store,//www.aliexpress.com/store/1103665052,+shipping: 21.54,430,55,161.63,293.86
8,Win 11 Pro Intel Celeron J4125 15.6 Inch Windows11 Pro 1920*1080 Game Office Laptop 12GB RAM 512GB/1TB SSD Windows 10 NoteBook ,3067.72,Tablet and laptop sales service center Store,//www.aliexpress.com/store/5795766,+shipping: 1408.09,60,43,2314.36,5382.08
9,Topton L10 Dual Screen Laptop 15.6 Inch IPS + 7'' Touch 12th Gen Intel N100 Max 32G DDR4 2T SSD Slim Office Notebook PC Computer ,5670.5,Topton Computer Store,//www.aliexpress.com/store/2546008,Free shipping,66,40,3780.23,9450.73
10,Best Laptop HUAWEI MateBook 14s 2022 Notebook PC i7-11370H 4.8GHz Iris Xe Graphics 14.2 Inch 2.5K Touch High Refresh Screen ,39575.25,HUWEI Factory Store,//www.aliexpress.com/store/836146,Free shipping,2,0.0,Free shipping,39575.25
