product_id,product_name,actual_price,percent_discount
0,High-end Lenovo Laptop ThinkPad X1 Carbon 2022 Gen 10 14 Inch 2.2K Led Backlit Screen i7-1260P 16GB LPDDR5 5200Win11 Pro 4G LTE ,79150.5,0
1,High-end Lenovo Laptop ThinkPad P15v Gen 3 2022 15.6 Inch FHD i7-12700H i7-11800H 10750H 64GB Ram 4TB SSD Nvidia Pro Graphics ,60154.38,0
2,2022 Professional Lenovo Gaming Laptop Legion Y9000P With i7-12700H NVIDIA RTX 3070Ti 8GB GPU 16GB Ram Backlit 15.6 Inch 165Hz ,60154.38,0
3,"New A2681 Laptop LCD Screen Display Assembly For Macbook Air A2681 Retina 13.6"" 2022 Year Glass Panel Assembly Replacement Parts ",2449.91,9
4,2024 Ultrabook Laptop 15.6 inch AMD R7 4700U/R5 4500U Backlit Keyboard Windows 36GB DDR4 2TB Fingerprint Unlock Gaming Notebook ,9839.04,44
5,Intel i9-10885H GTX1650 64G 512GB SSD Gaming Laptop 17.3 inch FHD IPS Laptop Windows 10 Pro Computer PC Laptops Metal Notebook ,23001.92,0
6,10.9 Inch Mini Laptop Intel N95 YOGA Touchscreens 16GB DDR5 2TB SSD HD Camera Backlit Keyboard 360° Fold Protable Tablet Laptop ,7867.4,44
7,Portable SSD 1TB High-speed Mobile Solid State Drive 500GB External Storage Decives Type-C USB 3.1 Interface for Laptop/PC/ Mac ,293.86,55
8,Win 11 Pro Intel Celeron J4125 15.6 Inch Windows11 Pro 1920*1080 Game Office Laptop 12GB RAM 512GB/1TB SSD Windows 10 NoteBook ,5382.08,43
9,Topton L10 Dual Screen Laptop 15.6 Inch IPS + 7'' Touch 12th Gen Intel N100 Max 32G DDR4 2T SSD Slim Office Notebook PC Computer ,9450.73,40
10,Best Laptop HUAWEI MateBook 14s 2022 Notebook PC i7-11370H 4.8GHz Iris Xe Graphics 14.2 Inch 2.5K Touch High Refresh Screen ,39575.25,0
11,YSJMNPC 15.6 Inch Gaming Laptop AMD Ryzen 9 6900HX/R7-8845HS 2*DDR5 MAX 64G 2Tb NVMe WIFI 6 BT 5.2 Esports Computer Notebook ,18259.23,44
12,Intel CARBAYTA Cheap Notebook 15.6 Inch Laptop Windows 11 10 Pro 1920*1080 Laptop 12G RAM 128G/256GB/512GB/1TB/2TB SSD HDMI Port ,7618.08,48
13,For Xiaomi Original High-speed SSD Portable External Solid State Hard Drive USB3.0 Interface Mobile Hard Drive For Laptop/mac ,232.83,82
14,CARBAYTA Laptop 15.6 Inch IPS Screen 16GB RAM  Intel 11th Celeron N5095 Netbook Windows 10 11 Pro Office Notebook Pc Portable ,6290.72,61
15,Cheap L10 Dual Screen Laptop 15.6 Inch IPS + 7'' Touch Intel Celeron N5095 Max 16G DDR4 2T SSD Slim Office Notebook PC Computer ,9704.96,40
16,New GPD WIN Max 2 10.1 Inch AMD 8840U/7840U Windows 11por mini Gaming Laptop Notebook Portable Game Computer 64GB RAM 2TB Nvme ,45938.95,52
17,GPD WIN Mini AMD 8840U/7640U 7Inch Handheld GamePad Tablet 64GB RAM 2TB ROM Pocket Mini PC Laptop Game Player Console ,14794.34,0
18,GPD Micro PC 6 Inches Mini Industry Laptop Intel Celeron Processor N4120 8GB/256GB Portable Laptop Computer Notebook OS Win10 ,11872.58,52
19,New! GPD WIN 4 WIN4 2024 AMD 8840U 6Inch Handheld GamePad Tablet Pocket Mini PC Laptop Game Player Console Computer Notebook ,14563.69,0
20,15.6 Inch Ultrabook Laptops AMD Ryzen R7 4700U Backlit Keyboard Gaming Notebook Windows11 por 36GB DDR4 2TB Fingerprint Unlock ,13074.55,42
21,GPD 2024 WIN Mini 32GB Memory 512GB 1TB  2TB SSD Hard Disk CPU AMD Ryzen Processor Handheld Gaming Laptop Mini PC Notebook ,14547.86,0
22,For Xiaomi Hard Disk Mobile SSD E61 2TB 8TB 256TB USB 3.1 HD External Hard for Laptop PS5 Mobile Hard Disk HDD Storage Devices ,662.44,82
23,16.1 Inch Gaming Laptop Computer GTX1650 4G Intel Core i9-10885H i7 10870H windows11 RAM Max 64GB DDR4 2*M.2 NVME 4TB SSD WiFi ,24345.74,44
24,"Fashion Dual Screen Laptops 11Th Gen Intel N5095 Processor Ultraslim 15.6"" IPS+i7"" Touchscreen For Business Student RGB Keyboard ",9704.96,40
25,Latest 2024 GPD WIN 2 10.1 Inch AMD 8840U 11por Gaming Laptop Portable Game Computer 64GB RAM 2TB Nvme PCIE4.0 SSD ,21452.71,0
26,Lenovo 2024 New High-speed External Hard Drive 500GB 2TB 4TB 8TB USB3.1 SSD 2.5 Inch Portable SSD 16TB Hard Disk for Laptop PS4 ,969.96,82
27,Intel 12th N95 Laptop 15.6 inch IPS Screen 16G 32GB RAM NVIDIA GeForce GTX 1060 4G Office Learning Computer Windows 10 11 Pro ,8532.11,33
28,cheapness Laptop 15.6 inch Windows 10 11 Pro 1920*1080 Cheap Portable Laptop DDR4 Ram 12GB Rom 128GB SSD  HDMI Port Notebook ,6331.72,54
29,New arrival! GPD WIN4 Win 4 2024 AMD 8840U 6Inch Handheld GamePad Tablet WIN10 Systerm Pocket Mini PC Laptop Game Player Console ,15830.1,0
30,Cheap L10 Dual Screen Laptop 15.6 Inch IPS + 7'' Touch Intel Celeron N5095 Max 16G DDR4 2T SSD Slim Office Notebook PC Computer ,5222.35,0
31,Latest 2024 GPD WIN Max 2 10.1 Inch AMD 8840U Windows 11por Gaming Laptop Portable Game Computer 64GB RAM 2TB Nvme PCIE4.0 SSD ,43089.53,52
32,10 12 15 17 Inch Embedded Industrial Computer All-in-one PC Panel with Capacitive Touch Screen Built-in WiFi for Win10 Pro ,11935.42,0
33,New GPD WIN Mini  7inch AMD 8840U 7Inch Handheld GamePad Tablet 64GB RAM 2TB PCIE4.0 SSD Pocket Mini Laptop Game Player Console ,28462.52,52
34,Best High-end HUAWEI Laptop PC MateBook X Pro 2021 New With 13.9 Inch 3000x2000 CNC Touch Screen i7-1165G7 Share Hidden Camera ,36647.95,0
35,MSI Pulse 15 Gaming Laptop 15.6 Inch QHD 2.5K 165Hz IPS Screen Notebook i7-13700H 16GB 1TB RTX4060 Gaming Computer Netbook Win11 ,40202.99,43
36,15 17 19 21.5 Inch Industrial Mini Tablet PC Panel Embedded All-in-One Computer with Capacitive Touch Screen Built-in WiFi ,11686.73,0
37,HUAWEI MateBook GT 14 Laptop 2024 Ultra 9-185H/Ultra 7-155/Ultra 5-125 Notebook 14.2-inch 2.8K OLED Touchscreen 140W AI 3D ,39551.97,35
38,2024 MSI Bravo 15 Gaming Laptop 15.6 Inch FHD 144Hz IPS Screen Notebook AMD Ryzen 9 7940HS 16GB 1TB RTX4060 Gaming Computer PC ,27189.29,33
39,GPD WIN 4 32GB Memory 2TB SSD Hard Disk Handheld Gaming Laptop Portable Mini PC AMD 7640U Processor Touch Screen 4G Lte Supports ,17032.41,0
40,GPD WIN Max 2 10.1-inch 2023 AMD Ryzen 7840U 32GB/64GB 1TB/2TB/ 4TB Windows 11 Portable Gaming Laptops ,26673.9,33
41,NEW! GPD WIN MINI 2023 AMD 7840U 7Inch Handheld GamePad Tablet Pocket Mini PC Laptop Game Player Console Computer Notebook ,18193.54,0
42,Precision Screwdriver Set Magnetic ScrewDriver Kit Bits Repair Tool For Laptop Tri Wing Torx Screwdrivers Small ,139.31,0
43,"Fashion Dual Screen Laptops 11Th Gen Intel N5095 Processor Ultraslim 15.6"" IPS+i7"" Touchscreen For Business Student RGB Keyboard ",6017.02,0
44,MSI Modern 14 Laptop 14 Inch FHD 60Hz IPS Screen Netbook i5-1155G7 16GB 512GB Working Notebook With Intel Iris Xe Graphics ,12916.5,33
45,New GPD Pocket 3 Mini Laptop PC Intel Core I7 16GB+1TB Pentium 7505 16GB 512GB 8 Inch Win10/11 Modular Full-featured Handheld ,19063.45,0
46,KLQDZMS Carry-on Suitcase Front Opening Laptop Boarding Case 20 Inch USB Charging Trolley Case Password Box Cabin Luggage ,3640.92,41
47,Xiaomi Redmi G 2022 Gaming Laptop 16 Inch 2.5K 165Hz Screen Notebook i7-12650H RTX3050Ti 16GB DDR5 512GB SSD Gaming Computer PC ,21811.56,42
48,12th Gen Intel Core i7-1260U 1165G7 Ultraslim Laptops 32GB RAM 2TB SSD Nvme 15.6” Full HD IPS Display Windows 11 Pro Lightweight ,14753.97,40
49,In Stock！GPD WIN Mini AMD 8840U/7640U 7Inch Handheld GamePad Tablet 64GB RAM 2TB ROM Pocket Mini PC Laptop Game Player Console ,28462.52,52
50,In Stock！GPD WIN 4 AMD 8840U/7640U 6Inch Handheld GamePad Tablet 64GB RAM 4TB ROM Pocket Mini PC Laptop Game Player Console ,32768.31,52
51,2023 HUAWEI MateBook X Pro Laptop i7-1360P 16/32GB 1/2TB 13th Core Notebook 14.2-inch 3.1k Touch-screen Computer HDR Vivid LTPS ,48121.52,42
52,NEW CABLETIME 8K USB C to HDMI Cable Type C Video Adapter 4K 144Hz Zinc Alloy for Macbook Air Samsung iPad Pro HUAWEI Laptop ,806.7,54
53,2024 MSI Raider GE78HX Gaming Laptop 17 Inch 2.5K QHD 240Hz Screen Notebook i9-14900HX 32GB 2TB RTX4090 Gaming Netbook Computer ,96317.64,33
54,Classic Lenovo Yangtian V14 Laptop 14 Inch FHD Screen i5-10210U Processor 8GB Ram 256GB 512GB SSD Quality Best Price HDMI ,17413.11,0
55,Xiaomi Redmi Book 14 2024 Laptop Intel Core I5-13500H 14inch 2.8K 120Hz Screen iris Xe Graphics 16G DDR5 512G/1TB SSD Notebook ,17842.58,36
56,memoria ram ddr3 2GB 4GB 8GB DDR2 667MHZ 800MHZ PC2 5300S 6400S DDR3 1333MHZ 1600MHZ PC3 10600S 12800S SO-DIMM Laptop Memory ,88.66,0
57,Exquisite High-end HUAWEI Laptop MateBook X 2021 i7-1160G7 i5-1130G7 13 inch 3K Touch Screen Fingerprint Backlit Keyboard Share ,44007.68,0
58,"New arrival! GPD WIN Max 2 10.1 Inch Handheld Gaming PC Laptop UMPC AMD 8840U Processor Windows 11,32GB/64GB RAM,2TB Nvme SSD ",23903.45,0
59,New! GPD WIN Mini AMD 7840U 7Inch Handheld GamePad Tablet 64GB RAM 2TB ROM Pocket Mini PC Laptop Game Player Console ,20689.94,0
60,[updated version]GPD WIN 4 WIN4 AMD 8840U 6Inch Handheld GamePad Tablet 32GB RAM 2TB Pocket Mini PC Laptop Game Player Console ,14563.69,0
61,New 2024 Xiaomi Redmi Book 16 Laptop Intel Core i5-13500H 16inch 2.5K Notebook 16GB DDR5+512G/1TB SSD Iris Xe Thunderbolt 4 ,18080.99,33
62,K&F Concept Large Camera Backpack DSLR Camera Bag Fits 15.6 Inch Laptop 13L with Tripod Holder Compatible with Canon Nikon Sony ,1718.52,58
63,HUAWEI MateBook X Pro 2022 Laptop i5-1155G7/i7-1195G7 lris Xe Graphics 16GB 512GB/1TB SSD 14.2 Inch 3.1K Touchscreen Notebook ,28699.31,36
64,Xiaomi Redmi G Pro 2022 Laptop AMD R7 6800H 16G/32 RAM 512G/1T SSD Geforce RTX3060 GPU Notebook 2.5K 240Hz 16'' Game Notebook PC ,27702.68,0
65,HUAWEI 2023 MateBook 14s Laptop i5-13500H/i7-13700H/i7-13900H 16GB/32GB 512GB Netbook 14.2-inch 2.5K 120Hz TouchScreen SSD WiFi6 ,30736.02,33
66,CABLETIME 240W PD Cable USB C to USB C Cable Fast Charger Adapter Type C to C Cable Power Wire for Laptop Macbook Samsung iPad ,248.06,54
67,"GPD WIN Max 2 10.1-inch Pocket Gaming PC Laptop AMD 7640U Processor Windows 11, 16GB RAM, 1TB SSD Mini Laptop ",19892.4,33
68,2022 HUAWEI MateBook X Laptop i5-1130G7/i7-1160G7 16GB512GB/1T Notebook 13 Inch 3k LTPS TouchScreen Netbook Iris Xe Graphics SSD ,33749.26,44
69,"nnew selling Alienware Area 51M Gaming Laptop, 17.3"" 300hz 3ms ",18644.76,0
70,Swift Order! Raze  Blade 18 (2023) Notebook I9-13950HX/16GB/1TB/18'' QHD/RTX4060 Gaming Laptop ,10176.7,0
