sales_id,quantity_sold,discounted_price,amount_saved,shipping_fee
0,7,79150.5,0.0,0.0
1,6,60154.38,0.0,0.0
2,5,60154.38,0.0,0.0
3,98,2229.42,220.49,204.87
4,25,5509.82,4329.22,0.0
5,1,23001.92,2472.03,2472.03
6,32,4405.67,3461.73,0.0
7,430,132.23,161.63,21.54
8,60,3067.72,2314.36,1408.09
9,66,5670.5,3780.23,0.0
10,2,39575.25,0.0,0.0
11,1,10225.14,8034.09,333.22
12,0,3961.33,3656.75,1365.35
13,357,41.91,190.92,80.79
14,8,2453.35,3837.37,1832.97
15,16,5822.94,3882.02,385.94
16,0,22050.7,23888.25,0.0
17,10,14794.34,0.0,0.0
18,14,5698.84,6173.74,0.0
19,14,14563.69,1305.35,1305.35
20,8,7583.25,5491.3,0.0
21,13,14547.86,0.0,0.0
22,0,119.24,543.2,80.79
23,19,13633.67,10712.07,666.61
24,0,5822.94,3882.02,385.94
25,1,21452.71,0.0,0.0
26,340,174.6,795.36,80.79
27,1,5716.57,2815.54,1334.16
28,24,2912.58,3419.14,1365.35
29,8,15830.1,768.87,768.87
30,0,5222.35,385.94,385.94
31,14,20682.97,22406.56,0.0
32,1,11935.42,0.0,4892.61
33,22,13662.01,14800.51,0.0
34,1,36647.95,0.0,0.0
35,10,22915.7,17287.29,1035.11
36,0,11686.73,0.0,7145.23
37,0,25708.78,13843.19,214.0
38,34,18216.82,8972.47,1124.64
39,4,17032.41,0.0,0.0
40,4,17871.51,8802.39,237.94
41,1,18193.54,1174.59,1174.59
42,38,139.31,0.0,249.96
43,1,6017.02,385.94,385.94
44,0,8654.06,4262.44,945.54
45,11,19063.45,0.0,0.0
46,0,2148.14,1492.78,632.41
47,12,12650.7,9160.86,1124.64
48,0,8852.35,5901.62,385.94
49,4,13662.01,14800.51,0.0
50,7,15728.79,17039.52,0.0
51,0,27910.48,20211.04,214.0
52,5,371.06,435.64,92.61
53,1,64532.82,31784.82,1124.64
54,0,17413.11,0.0,0.0
55,0,11419.2,6423.38,968.8
56,0,88.66,0.0,0.0
57,0,44007.68,0.0,0.0
58,33,23903.45,830.45,830.45
59,8,20689.94,735.15,735.15
60,20,14563.69,830.45,830.45
61,0,12114.26,5966.73,884.94
62,8,721.86,996.66,155.29
63,1,18367.56,10331.75,236.38
64,0,27702.68,4596.59,4596.59
65,0,20593.13,10142.89,214.0
66,63,114.14,133.92,56.36
67,1,13327.91,6564.49,237.94
68,1,18899.58,14849.68,214.0
69,0,18644.76,0.0,0.0
70,0,10176.7,0.0,0.0
71,0,11003.19,0.0,0.0
72,336,178.25,76.3,0.0
73,0,20963.88,0.0,0.0
74,0,226.28,27.96,0.0
75,0,15522.85,0.0,0.0
76,0,6903.19,3101.43,857.04
77,0,8724.08,0.0,0.0
78,0,9990.25,0.0,0.0
79,0,10179.48,0.0,0.0
80,270,42.02,191.49,80.79
81,0,8771.39,0.0,0.0
82,0,8612.77,0.0,0.0
83,9,205.43,115.56,237.94
84,0,10672.04,0.0,0.0
85,0,9397.52,0.0,0.0
86,10,11101.76,8722.82,236.38
87,1,24694.96,3457.29,3457.29
88,6,13377.38,0.0,231.44
89,2,133.08,33.27,333.13
90,0,31353.1,0.0,0.0
91,0,18994.54,0.0,0.0
92,0,15098.75,2703.62,2703.62
93,54,507.26,1029.88,0.0
94,4,17588.61,5253.74,475.9
95,1,554.05,0.0,0.0
96,34,17880.57,25730.72,1149.74
97,20,25983.68,13991.28,0.0
98,0,15999.8,8615.37,1149.74
99,7,1488.03,94.98,151.49
100,191,12958.68,9383.92,0.0
101,10,11340.84,7880.86,0.0
102,1,21604.93,2149.57,2149.57
103,1,403.35,0.0,0.0
104,121,13094.5,2149.57,2149.57
105,11,273.97,0.0,0.0
106,2,13.05,6.71,0.0
107,2,66.07,140.38,0.0
108,5,59.85,133.26,0.0
109,0,1834.71,1173.01,0.0
110,0,187.33,258.67,0.0
111,0,22.83,0.0,0.0
112,85,176.77,234.35,0.0
113,42,292.6,621.77,0.0
114,4,120.15,102.33,0.0
115,1,64.25,143.02,0.0
116,4,31.82,11.71,0.0
117,2,18.04,0.0,0.0
118,20,22.16,0.0,0.0
119,67,39.73,23.27,0.0
120,9,18.84,0.0,0.0
121,33,14.11,0.0,0.0
122,132,10.77,0.0,0.0
123,0,18.55,14.02,0.0
124,13,15.04,0.0,0.0
125,13,300.49,300.51,0.0
126,28,23.29,5.67,5.67
127,82,150.01,169.15,0.0
128,3,471.56,1002.08,0.0
129,0,2423.75,1549.61,632.41
130,13,50.97,0.0,0.0
131,2,191.74,407.43,0.0
132,32,276.46,324.54,0.0
133,0,868.92,96.56,220.35
134,3,14.57,0.0,14.72
135,2,13.62,0.0,0.0
136,3,18.05,10.13,0.0
137,20,5.38,0.0,0.0
138,17,14.72,0.0,0.0
139,61,27.39,10.13,0.0
140,6,28.02,0.0,0.0
141,11,22.15,0.0,0.0
142,6,109.61,128.69,0.0
143,3,13.05,6.71,0.0
144,11,16.31,0.0,0.0
145,0,258.55,0.0,0.0
146,65,48.28,0.0,0.0
147,421,2769.16,3384.63,0.0
148,15,40.69,0.0,0.0
149,36,204.98,364.42,0.0
150,29,15.04,0.0,0.0
151,72,34.4,4.25,0.0
152,69,30.52,172.88,0.0
153,95,276.46,324.54,0.0
154,20,61.64,66.8,0.0
155,238,30.07,0.0,0.0
156,158,15.68,0.0,0.0
157,57,30.52,172.88,0.0
158,3,461.16,856.44,0.0
