store_id,store_name,store_link
0,HUWEI Factory Store,www.aliexpress.com/store/836146
1,MAC LCD Store,www.aliexpress.com/store/1103570212
2,YSJMNPC Official Store,www.aliexpress.com/store/1100370457
3,NWNLAP Store,www.aliexpress.com/store/1518128
4,Shop1103665052 Store,www.aliexpress.com/store/1103665052
5,Tablet and laptop sales service center Store,www.aliexpress.com/store/5795766
6,Topton Computer Store,www.aliexpress.com/store/2546008
7,Science JNMD Store,www.aliexpress.com/store/912021507
8,3C Intelligent Network Electronics Store,www.aliexpress.com/store/1103720032
9,Professional Laptop Tablet Store,www.aliexpress.com/store/910811026
10,Kingnovy Computer Store,www.aliexpress.com/store/1100349524
11,Oushedi Laptop Store,www.aliexpress.com/store/912428549
12,Gamepad Store,www.aliexpress.com/store/2996071
13,GPD Game Pad Digital Brand Store,www.aliexpress.com/store/1912505
14,Xiaomi MJIA 3C Artificial Intelligence Electronics Store,www.aliexpress.com/store/1103713065
15,Lenovo Smart 3C Hard Drive Store,www.aliexpress.com/store/1104031859
16,Baby Doing Buy Store,www.aliexpress.com/store/5881464
17,OneTablet Store,www.aliexpress.com/store/5795435
18,TC Gamepad Store,www.aliexpress.com/store/3482051
19,Topton 3C Store,www.aliexpress.com/store/910437281
20,balahome Store,www.aliexpress.com/store/5492157
21,Original Brand Laptop Store,www.aliexpress.com/store/1102962099
22,HUAWEI Tablet Laptop Store,www.aliexpress.com/store/1102962101
23,Original Laptop Global Store,www.aliexpress.com/store/1102964053
24,TG TOOLS Store,www.aliexpress.com/store/912316110
25,Shop1100340019 Store,www.aliexpress.com/store/1100340019
26,YSJMNPC Computer Store,www.aliexpress.com/store/912541405
27,HUAWEI HONOR Original Store,www.aliexpress.com/store/1102962102
28,CABLETIME Flagship Store Store,www.aliexpress.com/store/5375180
29,Xiaomi-Lifestyle Store,www.aliexpress.com/store/5874648
30,YONGXINSHENG Official Store,www.aliexpress.com/store/5632106
31,Gamepad Digital Store,www.aliexpress.com/store/3516010
32,Global Mifans Store,www.aliexpress.com/store/911825111
33,K&F CONCEPT ONLINE Store,www.aliexpress.com/store/1945361
34,Xiao-Mi- Store,www.aliexpress.com/store/1241084
35,Shop1103753361 Store,www.aliexpress.com/store/1103753361
36,Shop912726186 Store,www.aliexpress.com/store/912726186
37,Smma Store,www.aliexpress.com/store/3253041
38,GENESIS Digital PC Store,www.aliexpress.com/store/1103278032
39,E-Sports Global Store,www.aliexpress.com/store/1102638103
40,Crelander Store,www.aliexpress.com/store/3376025
41,Shop1103672214 Store,www.aliexpress.com/store/1103672214
42,one GX Official Store,www.aliexpress.com/store/2674120
43,Hicoo Laptop Case Store,www.aliexpress.com/store/1102751272
44,Shippo Store,www.aliexpress.com/store/912771082
45,Global PC retail Store,www.aliexpress.com/store/911118016
46,Hua Qing Official Store,www.aliexpress.com/store/1102643682
47,Xiaomi And Lenovo Tablets Laptops Store,www.aliexpress.com/store/1102961071
48,OLOEY PROJECTOR GLOBAL Store,www.aliexpress.com/store/5375229
49,Mac Center Store,www.aliexpress.com/store/1102249712
50,Mi and Lenovo Laptop Store,www.aliexpress.com/store/911207215
51,szmj Store,www.aliexpress.com/store/912098060
52,SSD Original Store,www.aliexpress.com/store/1104079729
53,Shop1103889306 Store,www.aliexpress.com/store/1103889306
54,Shop1103534983 Store,www.aliexpress.com/store/1103534983
55,Shop1104044066 Store,www.aliexpress.com/store/1104044066
56,Life Dreamer Store,www.aliexpress.com/store/1102856219
